"sp"	"x"	"y"
"p_astreoides"	-81.501333	24.560333
"p_astreoides"	-81.384	24.552333
"p_astreoides"	-77.429444	18.477778
"p_astreoides"	-88.082133	16.802883
"p_astreoides"	-81.57675	24.521717
"p_astreoides"	-81.501333	24.560333
"p_astreoides"	-80.12058	25.50851
"p_astreoides"	-80.814722	24.742778
"p_astreoides"	-81.50127	24.56028
"p_astreoides"	-81.501333	24.560333
"p_astreoides"	-80.39	25.04
"p_astreoides"	-76.14	23.79
"p_astreoides"	-64.987667	18.317333
"p_astreoides"	-82.584833	24.468333
"p_astreoides"	-80.207667	25.270167
"p_astreoides"	-88.073667	16.804
"p_astreoides"	-68.954444	12.108917
"p_astreoides"	-68.959056	12.111111
"p_astreoides"	-68.960361	12.112333
"p_astreoides"	-68.999194	12.140444
"p_astreoides"	-69.151833	12.328472
"p_astreoides"	-81.582617	24.5857
"p_astreoides"	-81.57675	24.521717
"p_astreoides"	-81.582617	24.5857
"p_astreoides"	-81.57675	24.521717
"p_astreoides"	-38.079722	-12.667778
"p_astreoides"	-38.055	-12.656111
"p_astreoides"	-38.027778	-12.622222
"p_astreoides"	-37.983056	-12.578333
"p_astreoides"	-80.8265	24.7336
"p_astreoides"	-81.501333	24.560333
"p_astreoides"	-81.532333	24.553167
"p_astreoides"	-81.532333	24.5485
"p_astreoides"	-81.501667	24.56
"p_astreoides"	-96.0334	27.8669
"p_astreoides"	-96.0364	27.8545
"p_astreoides"	-96.0282	27.8388
"p_astreoides"	-96.0892	27.9042
"p_astreoides"	-96.3071	28.0222
"p_astreoides"	-96.3071	28.0222
"p_astreoides"	-96.2596	27.9942
"p_astreoides"	-93.3095	27.7786
"p_astreoides"	-93.1377	27.7611
"p_astreoides"	-93.8857	28.6678
"p_astreoides"	-93.769	28.361
"p_astreoides"	-93.5822	29.1872
"p_astreoides"	-93.3878	28.7579
"p_astreoides"	-93.4912	28.3759
"p_astreoides"	-91.0876	28.2993
"p_astreoides"	-90.4996	28.572
"p_astreoides"	-90.5769	28.5767
"p_astreoides"	-90.3808	28.501
"p_astreoides"	-90.4461	28.4663
"p_astreoides"	-90.4208	28.2141
"p_astreoides"	-90.5413	28.1963
"p_astreoides"	-88.6691	29.2924
"p_astreoides"	-88.4647	29.6491
"p_astreoides"	-88.5844	29.4054
"p_astreoides"	-88.2816	29.3467
"p_astreoides"	-88.4095	29.2398
"p_astreoides"	-88.4415	29.2585
"p_astreoides"	-92.9519	28.2084
"p_astreoides"	-93.4784	28.0962
"p_astreoides"	-93.4691	28.0703
"p_astreoides"	-93.6709	27.962
"p_astreoides"	-93.4584	27.9855
"p_astreoides"	-93.6709	27.962
"p_astreoides"	-93.9351	27.9132
"p_astreoides"	-93.9168	27.9168
"p_astreoides"	-93.5178	27.9717
"p_astreoides"	-94.1439	27.9763
"p_astreoides"	-94.0271	27.9556
"p_astreoides"	-93.2312	28.0367
"p_astreoides"	-93.2941	28.0034
"p_astreoides"	-93.0342	27.9814
"p_astreoides"	-81.501367	24.560383
"p_astreoides"	-88.07795	16.819467
"p_astreoides"	-80.415278	25.001389
"p_astreoides"	-39.050833	-17.775833
"p_astreoides"	-38.920333	-17.900833
"p_astreoides"	-38.965333	-17.683667
"p_astreoides"	-81.3194	24.6491
"p_astreoides"	-88.082167	16.803
"p_astreoides"	-81.3194	24.6491
"p_astreoides"	-81.3194	24.6491
"p_astreoides"	-81.1719	24.3918
"p_astreoides"	-87.683333	18.716667
"p_astreoides"	-87.8	16.833333
"p_astreoides"	-81.298	24.655
"p_astreoides"	-80.62	24.84
"p_astreoides"	-80.3	25.04
"p_astreoides"	-80.729467	24.837417
"p_astreoides"	-80.6171	24.899933
"p_astreoides"	-80.900617	24.731717
"p_astreoides"	-61.467222	15.610556
"p_astreoides"	-61.466389	15.604722
"p_astreoides"	-61.476389	15.590556
"p_astreoides"	-61.478889	15.583056
"p_astreoides"	-61.475556	15.581667
"p_astreoides"	-61.468611	15.553056
"p_astreoides"	-61.468611	15.551111
"p_astreoides"	-61.470556	15.550833
"p_astreoides"	-84.766667	22.15
"p_astreoides"	-87.683333	18.716667
"p_astreoides"	-77.460417	18.480083
"p_astreoides"	-77.41535	18.472917
"p_astreoides"	-77.413367	18.472817
"p_astreoides"	-77.40875	18.472283
"p_astreoides"	-77.388367	18.46805
"p_astreoides"	-77.356717	18.463817
"p_astreoides"	-81.33	24.648333
"p_astreoides"	-80.6158	24.8971
"p_astreoides"	-80.727617	24.83595
"p_astreoides"	-87.804567	17.281067
"p_astreoides"	-87.807667	17.279517
"p_astreoides"	-67.0696	17.957367
"p_astreoides"	-67.036883	17.9443
"p_astreoides"	-67.04885	17.934883
"p_astreoides"	-67.018833	17.93495
"p_astreoides"	-66.988667	17.890483
"p_astreoides"	-67.042983	17.877167
"p_astreoides"	-80.45	24.95
"p_astreoides"	-76.1465	23.7965
"p_astreoides"	-59.425	13.12
"p_astreoides"	-59.441667	13.103333
"p_astreoides"	-59.42	13.124167
"p_astreoides"	-59.4175	13.126667
"p_astreoides"	-59.435	13.11
"p_astreoides"	-59.448333	13.091667
"p_astreoides"	-59.06	13.043333
"p_astreoides"	-59.486667	13.061667
"p_astreoides"	-59.411667	13.141667
"p_astreoides"	-82.249444	9.330556
"p_astreoides"	-86.866667	20.833333
"p_astreoides"	-76.5	24.25
"p_astreoides"	-80.366667	24.983333
"p_astreoides"	-88.083333	16.8
"p_astreoides"	-80.454867	24.946983
"p_astreoides"	-80.8616	24.723017
"p_astreoides"	-80.729483	24.83715
"p_astreoides"	-80.7616	24.752367
"p_astreoides"	-88.083333	16.8
"p_astreoides"	-87.327778	18.589722
"p_astreoides"	-80.454867	24.946983
"p_astreoides"	-80.530556	24.913889
"p_astreoides"	-80.456944	24.947222
"p_astreoides"	-80.1398	25.483367
"p_astreoides"	-80.161117	25.373467
"p_astreoides"	-85.866667	20.866667
"p_astreoides"	-80.530556	24.913889
"p_astreoides"	-80.456944	24.947222
"p_astreoides"	-80.165833	25.363056
"p_astreoides"	-80.38	25.01
"p_astreoides"	-80.163333	25.386667
"p_astreoides"	-88.083333	16.8
"p_astreoides"	-80.3	25.116667
"p_astreoides"	-80.257222	25.145
"p_astreoides"	-80.349167	25.034444
"p_astreoides"	-80.414722	24.4225
"p_astreoides"	-80.457222	24.956111
"p_astreoides"	-80.505278	24.9225
"p_astreoides"	-80.623333	24.846389
"p_astreoides"	-80.259444	25.136667
"p_astreoides"	-80.414722	24.985278
"p_astreoides"	-80.221667	24.922222
"p_astreoides"	-64.616667	17.783333
"p_astreoides"	-81.38015	24.5529
"p_astreoides"	-81.429033	24.605767
"p_astreoides"	-65.316667	18.3
"p_astreoides"	-65.283333	18.266667
"p_astreoides"	-80.8288	24.7334
"p_astreoides"	-80.8295	24.733717
"p_astreoides"	-68.975556	12.126111
"p_astreoides"	-68.978056	12.126111
"p_astreoides"	-69.129722	12.267778
"p_astreoides"	-68.998056	12.139167
"p_astreoides"	-68.971111	12.1225
"p_astreoides"	-81.73175	12.50075
"p_astreoides"	-59.425	13.12
"p_astreoides"	-59.51	13.043333
"p_astreoides"	-59.411667	13.141667
"p_astreoides"	-81.730833	12.546667
"p_astreoides"	-81.731944	12.5525
"p_astreoides"	-64.724167	18.318333
"p_astreoides"	-64.724722	18.369444
"p_astreoides"	-64.764444	18.356389
"p_astreoides"	-64.679167	18.333333
"p_astreoides"	-64.833333	18.308889
"p_astreoides"	-64.621667	18.321667
"p_astreoides"	-64.528889	18.476667
"p_astreoides"	-64.718333	18.455278
"p_astreoides"	-62.804722	17.886389
"p_astreoides"	-63.245833	17.65
